kiosk_id,location_name,date,samples_dispensed,restock_qty,foot_traffic_index,is_promo,temp_f,precip_in,zip,city,state,inventory_on_hand,dow,month,week_of_year,rolling_7d,rolling_28d,lag_1d,lag_7d
26354,Newark - Walmart,2024-10-01,81,242,3.89,False,63.4,0.0,07102,Newark,New Jersey,461,1,10,40,81.0,81.0,0.0,0.0
26354,Newark - Walmart,2024-10-02,56,0,2.88,False,61.1,0.0,07102,Newark,New Jersey,405,2,10,40,68.5,68.5,81.0,0.0
26354,Newark - Walmart,2024-10-03,48,0,3.67,False,64.5,0.0,07102,Newark,New Jersey,357,3,10,40,61.7,61.7,56.0,0.0
26354,Newark - Walmart,2024-10-04,72,0,2.37,False,63.4,0.0,07102,Newark,New Jersey,285,4,10,40,64.2,64.2,48.0,0.0
26354,Newark - Walmart,2024-10-05,133,0,2.7,True,65.5,0.02,07102,Newark,New Jersey,152,5,10,40,78.0,78.0,72.0,0.0
26354,Newark - Walmart,2024-10-06,147,0,2.51,True,60.5,0.0,07102,Newark,New Jersey,5,6,10,40,89.5,89.5,133.0,0.0
26354,Newark - Walmart,2024-10-07,5,0,1.55,False,65.0,0.27,07102,Newark,New Jersey,0,0,10,41,77.4,77.4,147.0,0.0
26354,Newark - Walmart,2024-10-08,0,0,4.23,False,59.3,0.0,07102,Newark,New Jersey,0,1,10,41,65.9,67.8,5.0,81.0
26354,Newark - Walmart,2024-10-09,0,0,2.12,False,58.7,0.0,07102,Newark,New Jersey,0,2,10,41,57.9,60.2,0.0,56.0
26354,Newark - Walmart,2024-10-10,0,0,1.77,False,53.9,0.0,07102,Newark,New Jersey,0,3,10,41,51.0,54.2,0.0,48.0
26354,Newark - Walmart,2024-10-11,0,0,4.03,False,55.9,0.0,07102,Newark,New Jersey,0,4,10,41,40.7,49.3,0.0,72.0
26354,Newark - Walmart,2024-10-12,0,0,2.22,False,63.3,0.0,07102,Newark,New Jersey,0,5,10,41,21.7,45.2,0.0,133.0
26354,Newark - Walmart,2024-10-13,0,0,4.45,False,61.4,0.0,07102,Newark,New Jersey,0,6,10,41,0.7,41.7,0.0,147.0
26354,Newark - Walmart,2024-10-14,0,0,3.45,False,56.1,0.0,07102,Newark,New Jersey,0,0,10,42,0.0,38.7,0.0,5.0
26354,Newark - Walmart,2024-10-15,72,254,2.49,True,49.3,0.0,07102,Newark,New Jersey,182,1,10,42,10.3,40.9,0.0,0.0
26354,Newark - Walmart,2024-10-16,35,0,2.65,False,49.4,0.0,07102,Newark,New Jersey,147,2,10,42,15.3,40.6,72.0,0.0
26354,Newark - Walmart,2024-10-17,60,261,3.18,False,48.7,0.0,07102,Newark,New Jersey,348,3,10,42,23.9,41.7,35.0,0.0
26354,Newark - Walmart,2024-10-18,47,0,2.11,False,53.9,0.0,07102,Newark,New Jersey,301,4,10,42,30.6,42.0,60.0,0.0
26354,Newark - Walmart,2024-10-19,87,0,2.42,False,56.0,0.0,07102,Newark,New Jersey,214,5,10,42,43.0,44.4,47.0,0.0
26354,Newark - Walmart,2024-10-20,57,0,2.48,False,57.7,0.0,07102,Newark,New Jersey,157,6,10,42,51.1,45.0,87.0,0.0
26354,Newark - Walmart,2024-10-21,49,0,2.87,False,63.4,0.0,07102,Newark,New Jersey,108,0,10,43,58.1,45.2,57.0,0.0
26354,Newark - Walmart,2024-10-22,67,246,2.57,False,66.4,0.0,07102,Newark,New Jersey,287,1,10,43,57.4,46.2,49.0,72.0
26354,Newark - Walmart,2024-10-23,65,0,4.08,True,64.0,0.0,07102,Newark,New Jersey,222,2,10,43,61.7,47.0,67.0,35.0
26354,Newark - Walmart,2024-10-24,60,0,4.33,False,61.1,0.0,07102,Newark,New Jersey,162,3,10,43,61.7,47.5,65.0,60.0
26354,Newark - Walmart,2024-10-25,45,0,2.26,False,53.2,0.0,07102,Newark,New Jersey,117,4,10,43,61.4,47.4,60.0,47.0
26354,Newark - Walmart,2024-10-26,48,0,2.15,False,56.0,0.0,07102,Newark,New Jersey,69,5,10,43,55.9,47.5,45.0,87.0
26354,Newark - Walmart,2024-10-27,69,0,3.59,False,49.0,0.0,07102,Newark,New Jersey,0,6,10,43,57.6,48.3,48.0,57.0
26354,Newark - Walmart,2024-10-28,0,0,3.68,False,48.8,0.0,07102,Newark,New Jersey,0,0,10,44,50.6,46.5,69.0,49.0
26354,Newark - Walmart,2024-10-29,82,239,3.11,True,54.0,0.03,07102,Newark,New Jersey,157,1,10,44,52.7,46.6,0.0,67.0
26354,Newark - Walmart,2024-10-30,73,0,1.55,False,62.7,0.0,07102,Newark,New Jersey,84,2,10,44,53.9,47.2,82.0,65.0
26354,Newark - Walmart,2024-10-31,75,0,1.79,False,67.4,0.0,07102,Newark,New Jersey,9,3,10,44,56.0,48.1,73.0,60.0
26354,Newark - Walmart,2024-11-01,9,0,3.71,False,69.4,0.01,07102,Newark,New Jersey,0,4,11,44,50.9,45.9,75.0,45.0
26354,Newark - Walmart,2024-11-02,83,231,2.52,False,53.3,0.0,07102,Newark,New Jersey,148,5,11,44,55.9,44.1,9.0,48.0
26354,Newark - Walmart,2024-11-03,60,0,3.9,False,45.4,0.0,07102,Newark,New Jersey,88,6,11,44,54.6,41.0,83.0,69.0
26354,Newark - Walmart,2024-11-04,58,0,4.19,False,47.6,0.0,07102,Newark,New Jersey,30,0,11,45,62.9,42.9,60.0,0.0
26354,Newark - Walmart,2024-11-05,53,267,3.86,False,59.6,0.0,07102,Newark,New Jersey,244,1,11,45,58.7,44.8,58.0,82.0
26354,Newark - Walmart,2024-11-06,94,0,3.49,True,69.0,0.0,07102,Newark,New Jersey,150,2,11,45,61.7,48.1,53.0,73.0
26354,Newark - Walmart,2024-11-07,78,0,3.64,False,63.9,0.0,07102,Newark,New Jersey,72,3,11,45,62.1,50.9,94.0,75.0
26354,Newark - Walmart,2024-11-08,54,0,2.6,False,55.8,0.0,07102,Newark,New Jersey,18,4,11,45,68.6,52.9,78.0,9.0
26354,Newark - Walmart,2024-11-09,18,0,2.73,False,47.3,0.0,07102,Newark,New Jersey,0,5,11,45,59.3,53.5,54.0,83.0
26354,Newark - Walmart,2024-11-10,59,267,4.38,False,47.7,0.04,07102,Newark,New Jersey,208,6,11,45,59.1,55.6,18.0,60.0
26354,Newark - Walmart,2024-11-11,69,0,3.22,False,59.8,0.14,07102,Newark,New Jersey,139,0,11,46,60.7,58.1,59.0,58.0
26354,Newark - Walmart,2024-11-12,68,0,2.91,False,48.9,0.0,07102,Newark,New Jersey,71,1,11,46,62.9,57.9,69.0,53.0
26354,Newark - Walmart,2024-11-13,70,0,2.78,False,41.2,0.0,07102,Newark,New Jersey,1,2,11,46,59.4,59.2,68.0,94.0
26354,Newark - Walmart,2024-11-14,1,0,1.73,False,40.4,0.0,07102,Newark,New Jersey,0,3,11,46,48.4,57.1,70.0,78.0
26354,Newark - Walmart,2024-11-15,0,0,3.17,False,47.3,0.0,07102,Newark,New Jersey,0,4,11,46,40.7,55.4,1.0,54.0
26354,Newark - Walmart,2024-11-16,0,0,2.63,False,51.0,0.0,07102,Newark,New Jersey,0,5,11,46,38.1,52.3,0.0,18.0
26354,Newark - Walmart,2024-11-17,0,0,4.09,False,52.8,0.0,07102,Newark,New Jersey,0,6,11,46,29.7,50.2,0.0,59.0
26354,Newark - Walmart,2024-11-18,65,264,3.93,False,54.3,0.0,07102,Newark,New Jersey,199,0,11,47,29.1,50.8,0.0,69.0
26354,Newark - Walmart,2024-11-19,63,0,3.45,False,51.5,0.0,07102,Newark,New Jersey,136,1,11,47,28.4,50.7,65.0,68.0
26354,Newark - Walmart,2024-11-20,71,0,1.58,False,53.1,0.0,07102,Newark,New Jersey,65,2,11,47,28.6,50.9,63.0,70.0
26354,Newark - Walmart,2024-11-21,52,0,3.27,True,46.9,1.74,07102,Newark,New Jersey,13,3,11,47,35.9,50.6,71.0,1.0
26354,Newark - Walmart,2024-11-22,13,0,3.07,False,37.5,0.58,07102,Newark,New Jersey,0,4,11,47,37.7,49.5,52.0,0.0
26354,Newark - Walmart,2024-11-23,0,0,3.62,False,41.9,0.04,07102,Newark,New Jersey,0,5,11,47,37.7,47.8,13.0,0.0
26354,Newark - Walmart,2024-11-24,0,0,3.2,False,46.6,0.0,07102,Newark,New Jersey,0,6,11,47,37.7,45.3,0.0,0.0
